location,region,category,subcategory,index,addr,name,lng,lat,confidence
1,c3580,10,g101,2,建设镇虹桥村231号,好运来农家,121.472639561,31.6738995305,30
1,c3580,10,g101,3,崇明区前卫村878号,香林丽舍有机农庄,121.514673684,31.7254019021,80
1,c3580,10,g101,4,长兴岛前卫农场,老王小吃,121.697283271,31.3958850203,30
1,c3580,10,g101,5,八一路602号,凯歌大酒店,121.404421,31.6344969374,80
1,c3580,10,g101,6,向化镇向您路211号,夜德贤特色馄饨店,121.730084539,31.5262777671,25
1,c3580,10,g101,7,陈家镇陈海公路北陈公路小转向南500米,雄耀大酒店餐厅,121.817710835,31.5069931527,25
1,c3580,10,g101,8,长兴镇潘园公路152号,Coachmen Bar,121.733475012,31.3930803527,30
1,c3580,10,g101,9,城桥镇三沙洪路118号,博康酒家,121.391555262,31.6321063693,80
1,c3580,10,g101,10,新河镇新,福岛水产养殖合作社,121.531104138,31.5875020338,25
1,c3580,10,g101,11,陈家镇陈彷公路138号,妙江饭店,121.813703388,31.5052693152,80
1,c3580,10,g101,12,堡镇工农路149号,三峡人家,121.627491,31.5420089191,80
1,c3580,10,g101,13,陈海公路,湖西农家乐,121.384187306,31.6786068676,50
1,c3580,10,g101,14,玉环路587号,金都酒家,121.413486399,31.6346703587,80
1,c3580,10,g101,0,滧东村红梅14队,陈家外婆,121.455721759,31.692103452,30
1,c3580,10,g101,1,建设镇浜东村1028号,舒凡农家菜,121.506627845,31.6462709939,30
1,c3580,10,g101,2,崇明岛陈家镇屿安镇棚赢市场农工超市对面,琪琪农家菜,121.425443178,31.2018149113,80
1,c3580,10,g101,3,崇明陈家镇陈彷公路1弄2号3楼,瀛鑫大酒店,121.815946644,31.5031504028,80
1,c3580,10,g101,4,横沙岛天使度假村旁边,横沙农家乐,121.848704253,31.3439577612,30
1,c3580,10,g101,5,向化镇向贸路2号,新鸿酒楼,121.728299874,31.5274551021,80
1,c3580,10,g101,6,城桥镇八一路338号,苏味园汤包馆(崇明店),121.403107688,31.6294731666,80
1,c3580,10,g101,7,东风公路东风农场医院向西200米,风茂饭店,121.487305706,31.7150207538,50
1,c3580,10,g101,8,新民镇新环路23号,仿古楼,121.848581418,31.344559023,80
1,c3580,10,g101,9,崇明三华公路411号,屋里人家,121.265823452,31.7578931154,30
1,c3580,10,g101,10,崇明区长兴岛永丰果园,长兴鹿鸣山庄,121.697283271,31.3958850203,30
1,c3580,10,g101,11,竖新镇跃进村新南1354号,嘉瀛饭店旅馆,121.607095447,31.6076029374,30
1,c3580,10,g101,12,崇明堡镇四滧村北侧,瀛杏湾农庄,121.663317675,31.5326034565,30
1,c3580,10,g101,13,新河镇井亭村,崇明瀛中农田果园草莓园,121.511680319,31.5914130905,30
1,c3580,10,g101,14,崇明区建设公路1906号,等丽饭店,121.461164492,31.6647363828,80
1,c3580,10,g101,0,中兴镇中兴村537号,中兴村农家菜,121.751036937,31.5226407002,30
1,c3580,10,g101,1,湄州路211号,利好海鲜坊,None,None,None
1,c3580,10,g101,2,新河镇新光村101号,春风得意楼--崇明农家乐,121.26638296,31.792352961,30
1,c3580,10,g101,3,长兴岛凤凰公路,桔乡酒家,121.697283271,31.3958850203,30
1,c3580,10,g101,4,长兴岛长明村长江隧道480号,德士饭店,None,None,None
1,c3580,10,g101,5,潘圆公路,想得开农庄海鲜馆,121.649275908,31.4197299482,50
1,c3580,10,g101,6,崇明东浜村301号,海岛人家农家乐,121.885758644,31.3342460925,30
1,c3580,10,g101,7,新河镇新中路680号,舒乐饭店,121.529491897,31.5868174347,80
1,c3580,10,g101,8,城桥镇南门路298号南,钓鱼岛海鲜坊,121.404577649,31.6339242478,25
1,c3580,10,g101,9,崇明北陈公路裕福路9号,军宇村饭庄,121.814140103,31.499307686,30
1,c3580,10,g101,10,堡镇镇财贸村团城公路与大通路交叉口,鲜优农庄,121.621040106,31.5545975739,75
1,c3580,10,g101,11,潘圆公路前卫邮局西侧1号,三岛农家菜,121.405417972,31.2113592912,80
1,c3580,10,g101,12,陈家镇陈海公路北陈公路小转向南500米,雄耀农庄,121.817710835,31.5069931527,25
1,c3580,10,g101,13,港西镇港东公路999号,高家庄生态园,121.43343628,31.6864532123,80
1,c3580,10,g101,14,长兴岛丰康路22号,大华酒楼,121.697283271,31.3958850203,30
1,c3580,10,g101,0,长兴镇凤滨路266号,好运来饭店,121.693151608,31.3967497982,80
1,c3580,10,g101,1,崇明新崇北路323号,惠美食府,121.404361215,31.6310915648,80
1,c3580,10,g101,2,横沙乡横沙乡丰乐村9队,六扇门农家乐,121.856917207,31.3306914852,30
1,c3580,10,g101,3,东风农场北首,骁泖轩农庄,121.482407731,31.7195648431,25
1,c3580,10,g101,4,上海市崇明县长兴岛渔港码头,乐清人家,121.697283271,31.3958850203,30
1,c3580,10,g101,5,崇明北门路,陈记家常菜,121.405495528,31.6321883266,30
1,c3580,10,g101,6,陈家镇中心街原恒鑫大酒店,华舍亲亲酒店,121.817710835,31.5069931527,25
1,c3580,10,g101,7,富民沙路与民惠路相交路口北,金雷饭庄,121.843138744,31.3466314649,40
1,c3580,10,g101,8,新崇南路近西门路,崇明土菜馆,121.403370267,31.6259268968,40
1,c3580,10,g101,9,竖新镇竖桥公路65号,薛记家常菜,121.58749612,31.5711843444,60
1,c3580,10,g101,10,中兴镇北滧公路901号,懒人私房菜,121.762521735,31.5180611656,30
1,c3580,10,g101,11,林风公路205号,诚忠饭店,121.497244917,31.6821391188,80
1,c3580,10,g101,12,崇明前裕公路196号,土家菜,121.86543843,31.5595534392,80
